Room,CeramicDryFeature,CeramicVessel,Puki,PaintCup,PolishingStone,RawClay,Scoop,CeramicScrapper,UnfiredVessel
1.004,0,0,0,0,0,1,0,0,0
1.005,0,0,0,0,0,0,0,0,0
1.007,0,2,2,0,0,0,0,0,1
1.008,0,1,0,0,0,0,0,0,0
1.009,0,0,0,0,0,0,0,1,1
1.01,0,2,0,0,0,1,0,0,1
1.011,0,0,0,0,0,0,0,0,0
1.012,0,0,0,0,1,0,0,0,0
1.014,0,2,0,1,0,0,0,0,0
1.015,0,2,0,0,0,0,0,0,0
1.016,0,0,0,0,1,0,0,0,0
1.017,0,0,3,1,0,0,0,0,0
1.018,0,1,0,0,0,0,0,0,0
1.019,0,1,0,2,3,0,0,0,0
1.02,0,2,0,0,0,0,0,0,0
1.021,0,0,0,0,0,0,0,0,0
1.022,0,0,0,0,0,0,0,0,0
1.023,0,4,0,0,0,0,0,0,0
1.024,0,0,0,1,0,0,0,0,0
1.025,0,4,0,0,0,0,0,0,0
1.027,0,0,0,0,0,0,0,0,0
1.028,0,1,0,2,1,0,0,0,0
1.029,0,0,0,0,0,0,0,0,0
1.03,0,0,0,0,6,1,0,0,0
1.031,0,0,0,0,0,0,0,0,0
1.033,0,0,0,0,0,0,0,0,0
1.034,0,0,0,0,0,1,0,0,0
1.035,0,2,0,0,2,1,0,0,0
1.036,0,0,0,1,0,0,0,0,0
1.037,0,0,0,0,0,0,0,0,0
1.038,0,0,0,1,0,0,0,0,0
1.039,0,0,0,0,0,0,0,0,0
1.04,0,0,0,1,2,0,0,0,0
1.041,0,0,0,0,0,0,0,0,0
1.043,0,1,0,0,0,0,0,0,0
1.047,0,1,2,0,0,0,0,0,0
1.049,0,0,0,0,3,0,0,0,0
1.055,0,0,0,0,1,0,0,0,0
1.056,0,0,0,0,0,0,0,0,0
1.057,0,0,0,0,0,0,0,0,0
1.059,0,0,0,0,0,0,0,0,0
1.06,0,1,0,0,0,0,0,0,0
1.061,0,0,0,0,0,0,0,0,0
1.062,0,0,0,0,1,0,0,0,0
1.063,0,0,0,0,1,1,0,0,0
1.064,0,0,0,0,0,0,0,0,0
10.001,0,0,0,0,0,0,0,0,0
10.004,0,0,0,0,0,0,0,0,0
2.001,0,0,0,0,0,0,0,0,0
2.003,0,3,0,0,0,0,0,0,0
2.004,0,0,0,0,1,0,0,0,0
2.005,0,1,0,0,0,0,0,1,0
2.006,0,0,0,0,0,0,0,0,0
2.007,0,1,0,0,0,0,0,0,1
2.008,0,2,0,0,0,0,0,0,0
2.009,0,1,3,0,2,0,0,0,0
2.01,0,2,0,0,0,0,0,0,0
2.011,0,0,0,1,0,0,0,0,0
2.012,0,0,0,0,6,1,1,0,1
2.013,0,0,0,1,0,0,0,0,0
2.014,0,3,0,0,2,0,0,0,0
2.015,0,2,0,0,0,0,0,0,0
2.016,0,0,0,0,0,0,0,0,0
2.017,0,3,0,0,0,0,0,0,0
2.018,0,0,0,0,0,0,1,0,0
2.019,0,1,0,0,0,0,0,0,0
2.02,0,2,0,0,0,1,0,0,1
2.021,0,0,0,0,0,0,0,0,0
2.022,0,0,0,0,1,0,0,0,0
2.023,0,1,0,0,1,0,1,0,1
2.025,0,0,0,0,0,0,0,0,0
2.026,0,4,1,0,0,0,0,0,0
2.029,0,0,0,0,1,1,1,1,0
2.03,0,0,0,0,1,0,0,0,0
2.031,0,1,0,0,1,0,1,0,0
2.032,0,0,0,1,16,0,0,0,0
2.033,0,0,0,0,3,0,0,0,0
2.034,0,0,0,0,0,0,0,0,0
2.035,0,0,0,0,1,0,0,0,0
2.036,0,0,0,0,1,0,0,0,0
2.037,0,1,1,0,0,0,0,0,0
2.038,0,0,0,0,1,0,0,0,0
2.039,0,1,0,0,0,0,0,0,0
2.04,0,0,0,0,0,0,0,0,0
2.041,0,0,0,0,1,0,0,0,0
2.042,0,0,0,0,0,0,0,0,0
2.043,0,0,0,0,0,0,0,0,0
2.044,0,0,0,0,0,0,0,0,0
2.045,0,0,0,0,0,0,0,0,0
2.046,0,1,0,0,0,0,0,0,0
2.047,0,0,0,0,7,0,0,0,0
2.048,0,0,0,0,6,0,0,0,0
2.049,0,0,0,0,2,0,0,0,0
2.051,0,0,0,0,0,0,0,0,0
3.001,0,2,1,0,2,0,0,0,0
3.002,0,6,0,0,1,0,0,0,0
3.003,0,0,0,0,3,0,0,0,0
3.004,0,0,2,0,0,0,0,0,0
3.005,0,1,1,0,1,0,0,0,0
3.006,0,1,0,0,0,0,0,0,0
3.007,0,0,2,0,0,0,0,0,0
3.008,0,0,0,0,6,0,0,0,0
3.009,0,4,0,0,0,0,0,0,0
3.01,0,2,1,0,0,0,0,0,0
3.012,0,0,1,0,0,0,0,0,0
3.013,0,0,0,0,5,0,0,0,0
3.014,0,0,0,0,0,0,0,0,0
3.015,0,1,1,0,2,0,0,0,0
3.016,0,1,0,0,0,0,0,0,0
3.017,0,0,3,0,0,0,0,0,0
3.018,0,0,0,0,0,0,0,1,0
3.019,0,1,0,0,0,0,0,0,0
3.02,0,3,0,0,2,0,0,0,0
3.021,0,0,0,0,0,0,0,0,0
3.025,0,0,0,0,0,0,0,0,0
3.027,0,2,0,0,0,0,0,0,0
3.029,0,0,0,0,1,0,0,0,0
3.03,0,0,0,0,0,0,0,0,0
3.031,0,0,0,0,1,0,0,0,0
3.036,0,1,1,0,0,0,0,0,0
3.037,0,4,0,0,2,0,0,0,0
3.039,0,0,0,0,0,0,0,0,0
3.045,0,0,0,0,0,0,0,0,0
3.046,1,0,0,1,0,0,0,1,0
3.048,1,3,0,0,0,0,0,0,0
3.05,0,2,0,1,0,0,0,0,0
3.052,1,8,0,1,0,0,0,0,5
3.054,1,2,0,0,0,0,0,0,0
3.055,0,0,0,0,1,0,0,0,0
3.056,0,0,0,0,0,0,0,0,0
4.001,0,0,0,1,1,0,1,0,0
4.002,0,0,0,0,0,0,0,0,0
5.006,0,0,0,0,0,0,0,0,0
5.009,0,0,0,0,0,0,0,0,0
5.011,0,1,0,0,2,0,0,0,0
5.015,0,0,0,0,0,0,0,0,0
5.017,0,0,0,0,0,0,0,0,0
5.021,0,0,0,0,0,0,0,0,0
5.025,0,0,0,0,0,0,0,0,0
5.026,0,2,0,0,0,0,0,2,0
5.028,0,2,1,1,4,0,0,4,1
5.03,0,0,0,0,0,0,0,0,0
5.031,0,0,0,0,0,0,0,0,0
5.032,0,1,1,0,0,0,0,0,1
5.035,0,0,0,0,0,0,0,0,0
5.036,0,0,0,0,1,0,0,0,0
5.037,0,0,0,0,0,0,0,0,0
5.038,0,3,0,0,0,0,0,0,0
5.039,0,0,0,0,0,0,0,0,0
5.04,0,0,0,0,0,0,0,0,0
5.043,0,0,0,0,0,0,0,0,0
5.044,0,0,0,0,2,0,0,0,0
5.045,0,0,0,0,0,0,0,0,0
5.046,0,1,0,0,0,0,0,0,0
5.047,0,0,0,0,1,0,0,0,0
5.049,0,0,0,0,0,0,0,0,1
5.05,0,1,0,0,0,0,1,1,0
5.053,0,0,0,0,0,0,0,0,0
5.054,0,0,0,0,0,0,0,0,0
5.056,0,0,0,0,0,0,0,0,0
5.057,0,0,0,0,0,0,0,0,0
5.059,0,0,0,0,0,0,0,0,0
5.063,0,3,0,0,0,0,0,0,0
5.065,0,0,0,0,0,1,0,0,0
5.066,0,0,1,0,0,0,0,0,0
5.067,0,0,0,1,0,0,0,0,0
5.068,0,1,0,0,0,0,0,0,0
6.002,0,0,0,0,1,0,0,0,1
6.003,0,0,0,0,0,0,0,0,0
6.004,0,0,0,0,0,0,0,0,0
6.005,0,0,0,0,0,0,0,0,1
6.006,0,0,0,0,0,0,0,0,0
6.008,0,0,0,0,1,0,0,0,0
6.009,0,1,0,0,0,0,0,0,0
6.01,0,0,0,0,1,0,0,0,0
6.012,0,1,0,0,0,1,0,0,0
7.001,0,0,0,0,3,0,0,0,0
7.002,0,1,0,0,0,0,0,0,0
7.004,0,0,1,0,0,0,0,0,0
7.005,0,0,0,0,0,0,0,0,0
7.006,0,0,0,0,0,0,0,0,0
7.008,0,0,0,0,0,0,0,0,0
7.009,0,0,1,0,1,1,0,0,0
7.01,0,0,0,0,0,0,0,0,0
7.013,0,0,0,0,0,0,0,0,0
7.019,0,0,0,0,0,0,0,0,0
8.001,0,2,0,0,53,0,0,0,0
8.002,0,0,0,0,0,0,0,0,0
8.003,0,0,4,0,0,0,0,0,1
8.004,0,0,0,0,2,0,0,0,0
8.005,1,3,3,0,2,0,0,0,0
8.006,1,1,0,1,4,0,1,0,0
8.007,1,0,3,0,2,0,0,0,0
8.008,0,3,0,0,0,0,0,0,0
8.009,1,2,0,0,0,0,0,0,0
8.012,0,0,0,0,0,0,0,0,0
8.013,0,0,0,0,0,0,0,0,0
9.001,0,0,0,0,0,0,0,1,0
