Source,Target,Type,Id,Weight
n0,n73,Undirected,e0,119.167412
n0,n27,Undirected,e1,182.474854
n0,n77,Undirected,e2,82.324539
n0,n59,Undirected,e3,47.014347
n1,n73,Undirected,e4,22.481531
n1,n20,Undirected,e5,61.180862
n1,n70,Undirected,e6,87.505692
n2,n64,Undirected,e7,115.000473
n2,n57,Undirected,e8,60.741482
n2,n46,Undirected,e9,312.278656
n2,n88,Undirected,e10,104.612984
n3,n28,Undirected,e11,154.608688
n3,n46,Undirected,e12,68.101128
n4,n16,Undirected,e13,205.710495
n4,n33,Undirected,e14,45.814163
n4,n52,Undirected,e15,50.434689
n4,n29,Undirected,e16,69.583969
n5,n85,Undirected,e17,61.235336
n5,n15,Undirected,e18,23.062958
n6,n88,Undirected,e19,55.445232
n6,n86,Undirected,e20,23.789865
n7,n83,Undirected,e21,172.25148
n7,n30,Undirected,e22,6.736139
n8,n81,Undirected,e23,38.168789
n8,n60,Undirected,e24,78.157066
n9,n74,Undirected,e25,70.70533
n9,n75,Undirected,e26,56.721687
n9,n76,Undirected,e27,69.99044
n9,n78,Undirected,e28,87.285828
n10,n42,Undirected,e29,190.384491
n10,n35,Undirected,e30,122.533058
n10,n38,Undirected,e31,32.32946
n10,n31,Undirected,e32,186.546143
n11,n24,Undirected,e33,27.779917
n11,n46,Undirected,e34,66.533417
n12,n24,Undirected,e35,75.777184
n12,n46,Undirected,e36,125.016281
n12,n79,Undirected,e37,75.59137
n13,n48,Undirected,e38,46.321201
n13,n23,Undirected,e39,102.742386
n13,n36,Undirected,e40,157.849762
n13,n47,Undirected,e41,97.952354
n14,n64,Undirected,e42,77.961922
n14,n17,Undirected,e43,62.873348
n15,n55,Undirected,e44,35.715076
n16,n33,Undirected,e45,174.768433
n16,n69,Undirected,e46,141.210098
n16,n39,Undirected,e47,154.926666
n16,n48,Undirected,e48,188.165039
n16,n19,Undirected,e49,158.438232
n16,n53,Undirected,e50,62.1534
n16,n54,Undirected,e51,114.175667
n16,n36,Undirected,e52,33.42944
n17,n81,Undirected,e53,97.684296
n18,n72,Undirected,e54,45.256336
n18,n47,Undirected,e55,8.101773
n19,n30,Undirected,e56,13.885817
n20,n70,Undirected,e57,77.548698
n20,n73,Undirected,e58,83.582436
n21,n40,Undirected,e59,158.410141
n21,n67,Undirected,e60,49.384529
n21,n83,Undirected,e61,111.329056
n22,n57,Undirected,e62,70.33416
n22,n75,Undirected,e63,66.029648
n22,n84,Undirected,e64,51.700962
n23,n84,Undirected,e65,84.816109
n25,n49,Undirected,e66,96.097641
n25,n42,Undirected,e67,67.355919
n26,n48,Undirected,e68,50.010311
n26,n30,Undirected,e69,32.592522
n27,n80,Undirected,e70,57.022243
n27,n70,Undirected,e71,81.8125
n28,n74,Undirected,e72,47.751282
n28,n78,Undirected,e73,25.911564
n29,n40,Undirected,e74,69.074936
n30,n66,Undirected,e75,9.020856
n30,n67,Undirected,e76,128.131195
n30,n72,Undirected,e77,89.721886
n31,n80,Undirected,e78,64.086777
n31,n35,Undirected,e79,78.310623
n31,n42,Undirected,e80,46.092976
n32,n85,Undirected,e81,105.914886
n32,n47,Undirected,e82,36.06134
n33,n52,Undirected,e83,21.878704
n33,n39,Undirected,e84,20.793074
n34,n44,Undirected,e85,34.910347
n34,n71,Undirected,e86,86.136856
n35,n42,Undirected,e87,68.371788
n35,n74,Undirected,e88,161.397095
n37,n59,Undirected,e89,111.298721
n37,n52,Undirected,e90,59.421844
n38,n56,Undirected,e91,58.496418
n40,n83,Undirected,e92,67.268997
n40,n69,Undirected,e93,55.192207
n41,n50,Undirected,e94,20.578606
n41,n44,Undirected,e95,33.471783
n43,n86,Undirected,e96,143.153046
n43,n79,Undirected,e97,69.074539
n45,n82,Undirected,e98,140.446396
n45,n61,Undirected,e99,174.479538
n45,n87,Undirected,e100,114.74247
n46,n82,Undirected,e101,143.723373
n46,n51,Undirected,e102,43.600803
n48,n72,Undirected,e103,21.594599
n49,n53,Undirected,e104,80.357361
n50,n71,Undirected,e105,6.97432
n51,n56,Undirected,e106,93.50161
n51,n62,Undirected,e107,49.460724
n54,n76,Undirected,e108,74.146164
n55,n63,Undirected,e109,34.151993
n57,n75,Undirected,e110,121.384636
n57,n84,Undirected,e111,54.861172
n58,n80,Undirected,e112,95.590286
n58,n77,Undirected,e113,55.340996
n61,n80,Undirected,e114,49.994083
n61,n65,Undirected,e115,12.710387
n62,n87,Undirected,e116,22.542255
n63,n66,Undirected,e117,38.438084
n63,n85,Undirected,e118,95.415024
n64,n88,Undirected,e119,82.098709
n65,n80,Undirected,e120,43.043819
n67,n83,Undirected,e121,99.50235
n68,n82,Undirected,e122,26.976837
n69,n83,Undirected,e123,62.005497
n71,n79,Undirected,e124,83.684662
n74,n76,Undirected,e125,112.170654
n74,n78,Undirected,e126,23.82625
